Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.010545757825116499,0.042183031300465995,1.0,3.0,0.014061010433488666,0.0006611720608154974,6.611720608154974
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.010511435934700475,0.0420457437388019,1.0,3.0,0.014015247912933966,0.0006583349359713945,6.583349359713945
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.015026043729961823,0.030052087459923646,2.0,2.0,0.030052087459923646,0.000949326910386336,9.49326910386336
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.014156426614533226,0.028312853229066452,4.0,4.0,0.028312853229066452,0.00076134395947102,7.613439594710201
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.013504645385935585,0.02700929077187117,12.0,12.0,0.02700929077187117,0.0006990695637000439,6.990695637000439
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0025867140772807065,0.010346856309122826,2.0,6.0,0.003448952103040942,0.00013845363890533957,1.3845363890533957
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.007389241839593813,0.014778483679187627,8.0,8.0,0.014778483679187627,0.00041138591494309303,4.1138591494309305
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.0063205285809097254,0.025282114323638902,1.0,3.0,0.008427371441212967,0.00038675792630063607,3.867579263006361
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.006373689466832607,0.02549475786733043,2.0,6.0,0.008498252622443477,0.00038932774432563414,3.8932774432563413
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.006208974261691162,0.024835897046764647,1.0,3.0,0.008278632348921549,0.00037777162753651055,3.7777162753651057
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.008695421511430275,0.01739084302286055,1.0,1.0,0.01739084302286055,0.0005929244970139309,5.929244970139309
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.009472878446506024,0.018945756893012047,1.0,1.0,0.018945756893012047,0.0005872213538954348,5.872213538954348
B,10.81,192.0,2.04,8.298,0.277,20.5,0.005296505289256209,0.06355806347107451,1.0,11.0,0.005778005770097683,0.0007626699077725905,7.626699077725905
B,10.81,192.0,2.04,8.298,0.277,20.5,0.00513171634671625,0.061580596160595,1.0,11.0,0.005598236014599545,0.0007449310361954628,7.449310361954628
B,10.81,192.0,2.04,8.298,0.277,20.5,0.005063405965246417,0.060760871582956996,1.0,11.0,0.005523715598450636,0.0007200758674240931,7.200758674240931
B,10.81,192.0,2.04,8.298,0.277,20.5,0.005296672570440958,0.0635600708452915,1.0,11.0,0.005778188258662864,0.0007422949795337274,7.422949795337273
B,10.81,192.0,2.04,8.298,0.277,20.5,0.005142976946248042,0.06171572335497651,1.0,11.0,0.0056105203049978646,0.0007057366613120665,7.057366613120665
B,10.81,192.0,2.04,8.298,0.277,20.5,0.001922022432315625,0.0076880897292625,2.0,6.0,0.002562696576420833,0.00020758010908064096,2.0758010908064097
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0075858053140545004,0.030343221256218002,4.0,12.0,0.010114407085406,0.0008262437366623927,8.262437366623928
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0025803874980380253,0.025803874980380254,2.0,18.0,0.0028670972200422504,0.00036060449981179687,3.6060449981179685
Be,9.012183,153.0,1.57,9.323,,37.74,0.0036991854186739503,0.007398370837347901,2.0,2.0,0.007398370837347901,0.00033178259558643437,3.3178259558643437
Be,9.012183,153.0,1.57,9.323,,37.74,0.016477627548418,0.032955255096836,1.0,1.0,0.032955255096836,0.0014834442452916097,14.834442452916097
Be,9.012183,153.0,1.57,9.323,,37.74,0.01062777362456355,0.0212555472491271,2.0,2.0,0.0212555472491271,0.0009295289578707818,9.295289578707818
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,0.007770909813516099,0.015541819627032199,1.0,1.0,0.015541819627032199,0.0003262938553499366,3.262938553499366
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.006728260554153546,0.013456521108307092,1.0,1.0,0.013456521108307092,0.00033335573857309366,3.3335573857309364
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.004485602707869213,0.008971205415738426,2.0,2.0,0.008971205415738426,0.00018060798906463697,1.8060798906463698
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0010879295338342499,0.0021758590676684997,2.0,2.0,0.0021758590676684997,0.0001549216626509982,1.549216626509982
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0014141310225483004,0.0028282620450966007,2.0,2.0,0.0028282620450966007,0.00013123804570027879,1.312380457002788
B,10.81,192.0,2.04,8.298,0.277,20.5,0.005074766563289631,0.010149533126579261,4.0,4.0,0.010149533126579261,0.00013306362166118674,1.3306362166118675
B,10.81,192.0,2.04,8.298,0.277,20.5,0.010850142539158574,0.021700285078317148,2.0,2.0,0.021700285078317148,0.000799489490742815,7.99489490742815
B,10.81,192.0,2.04,8.298,0.277,20.5,0.010878998451046082,0.021757996902092163,4.0,4.0,0.021757996902092163,0.0008039433540166898,8.039433540166897
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0007037704805741616,0.0091490162474641,1.0,12.0,0.0007624180206220084,8.210390310570991e-05,0.8210390310570991
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0006792042620075959,0.008829655406098747,2.0,24.0,0.0007358046171748956,7.797928092966201e-05,0.7797928092966201
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0006252917985277358,0.0043770425896941505,1.0,6.0,0.0007295070982823584,7.465867044649333e-05,0.7465867044649332
Ca,40.08,231.0,1.0,6.113,,160.8,0.016313801394534786,0.06525520557813914,2.0,6.0,0.021751735192713048,0.0004216180061808395,4.216180061808395
Ca,40.08,231.0,1.0,6.113,,160.8,0.017359199604987035,0.06943679841994814,1.0,3.0,0.023145599473316045,0.0004621031721479674,4.621031721479674
Ca,40.08,231.0,1.0,6.113,,160.8,0.00682510448265305,0.03412552241326525,2.0,8.0,0.008531380603316312,0.00016758901827728916,1.6758901827728916
Cd,112.41,158.0,1.69,8.994,,46.0,0.008458925608780287,0.03383570243512115,1.0,3.0,0.011278567478373717,0.00042005360289157004,4.2005360289157005
Cd,112.41,158.0,1.69,8.994,,46.0,0.008541696517641775,0.0341667860705671,2.0,6.0,0.011388928690189032,0.00043584704217987814,4.358470421798781
